RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,x,y
01,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2, 	PH15 2EB, 195,211
02,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2, 	AB38 9PJ, 203,149
03,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2, 	AB5 5LI, 223,156
04,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0, 	PA42 7EB, 69,227
05,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1, 	AB54 4NH, 221,178
06,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2, KA27 8HJ, 104,227
07,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3, G81 4SJ, 149,267
08,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1, 	AB55 3XS, 209,145
09,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2, 	AB55 3QY, 210,144
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1, 	IV19 1LB, 158,129
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2, 	PH26 3PF, 184,176
12,Balvenie,3,2,1,0,0,3,2,1,0,2,2,2, 	AB55 4DH, 209,155
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2, 	PH33 6TJ, 127,187
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2, 	IV30 8SJ, 198,147
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2, 	AB38 9NN, 197,153
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2, 	IV36 3EB, 185,142
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3, 	DG8 9AB, 129,347
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2, 	PH16 5LY, 171,215
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2, 	PA43 7GS, 61,269
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2, PA49 7UN, 56,270
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3, PA46 7RR, 69,262
22,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1, 	PA46 7RL, 70,263
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2, 	AB38 7RY, 196,154
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0, 	KW9 6LB, 181,110
25,Craigellachie,2,2,2,0,1,2,2,1,2,2,1,4, AB38 9ST, 196,148
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2, AB37 9AB, 194,157
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1, 	AB38 7RE, 195,155
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1, 	IV17 0UT, 161,135
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2, 	PH19 1AB, 173,195
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1, FK16 6AG, 158,251
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2, AB55 4BR, 213,158
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2, PH16 5JP, 171,215
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1, AB4 3JT, 221,145
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3, IV30 3SL, 322640, 191,135
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2, AB51 0ES, 243,167
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1, AB38 7BS, 203,153
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1, AB55 3BU, 212,151
